id,common_name,observed_on,place_guess,location,quality_grade,annotation_summary,url,latitude,longitude,life_stage,alive_dead
267124187,Atlantic Menhaden,2022-09-20 13:14:00-04:00,"Sea Bright Beach, Sea Bright, NJ 07760, USA","[40.3627164, -73.9724701]",research,,https://www.inaturalist.org/observations/267124187,40.3627164,-73.9724701,,
266821671,Northern Diamondback Terrapin,2022-05-26 14:36:00-04:00,"New Jersey, US","[39.5764866551, -74.5043293632]",research,,https://www.inaturalist.org/observations/266821671,39.5764866551,-74.5043293632,,
266821670,Northern Diamondback Terrapin,2022-05-26 14:33:00-04:00,"New Jersey, US","[39.5161951428, -74.5814538133]",research,,https://www.inaturalist.org/observations/266821670,39.5161951428,-74.5814538133,,
266821669,Northern Diamondback Terrapin,2022-05-26 14:33:00-04:00,"New Jersey, US","[39.4712733003, -74.4252638918]",research,,https://www.inaturalist.org/observations/266821669,39.4712733003,-74.4252638918,,
266802011,Atlantic Menhaden,2020-12-22 14:09:00-05:00,"Galloway, NJ, USA","[39.4590242296, -74.4355254427]",research,,https://www.inaturalist.org/observations/266802011,39.4590242296,-74.4355254427,,
266799649,Atlantic Menhaden,2020-12-06 11:04:00-05:00,"Barnegat Light, NJ, USA","[39.7584198731, -74.0947765563]",research,,https://www.inaturalist.org/observations/266799649,39.7584198731,-74.0947765563,,
263719683,Northern Diamondback Terrapin,2023-07-29 10:57:00-04:00,"New Jersey, US","[39.4807602687, -74.3723861002]",research,,https://www.inaturalist.org/observations/263719683,39.4807602687,-74.3723861002,,
263719652,Mud Fiddler Crab,2023-07-29 08:31:00-04:00,"Little Egg Harbor Township, NJ, USA","[39.5773348271, -74.3447676091]",research,,https://www.inaturalist.org/observations/263719652,39.5773348271,-74.3447676091,,
262907158,Northern Diamondback Terrapin,2022-03-26 16:41:04-04:00,"Cape May County, US-NJ, US","[39.0598190542, -74.7320694482]",research,,https://www.inaturalist.org/observations/262907158,39.0598190542,-74.7320694482,,
261884691,Northern Diamondback Terrapin,2024-06-24 16:16:00-04:00,"Cape May County, US-NJ, US","[39.0509349049, -74.6954939346]",research,,https://www.inaturalist.org/observations/261884691,39.0509349049,-74.6954939346,,
